country,country_code,year_week,age_group,new_cases,population,rate_14_day_per_100k,source
Austria,AT,2020-09,<15yr,0,1283060,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-10,<15yr,0,1283060,0,"TESSy COVID-19, national weekly data"
Austria,AT,2020-11,<15yr,10,1283060,0.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-12,<15yr,58,1283060,5.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-13,<15yr,156,1283060,16.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-14,<15yr,104,1283060,20.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-15,<15yr,54,1283060,12.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-16,<15yr,14,1283060,5.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-17,<15yr,21,1283060,2.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-18,<15yr,20,1283060,3.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-19,<15yr,6,1283060,2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-20,<15yr,26,1283060,2.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-21,<15yr,25,1283060,4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-22,<15yr,28,1283060,4.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-23,<15yr,33,1283060,4.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-24,<15yr,22,1283060,4.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-25,<15yr,32,1283060,4.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-26,<15yr,42,1283060,5.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-27,<15yr,109,1283060,11.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-28,<15yr,59,1283060,13.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-29,<15yr,95,1283060,12,"TESSy COVID-19, national weekly data"
Austria,AT,2020-30,<15yr,82,1283060,13.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-31,<15yr,75,1283060,12.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-32,<15yr,53,1283060,10,"TESSy COVID-19, national weekly data"
Austria,AT,2020-33,<15yr,77,1283060,10.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-34,<15yr,130,1283060,16.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-35,<15yr,177,1283060,23.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-36,<15yr,228,1283060,31.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-37,<15yr,386,1283060,47.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-38,<15yr,512,1283060,70,"TESSy COVID-19, national weekly data"
Austria,AT,2020-39,<15yr,470,1283060,76.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-40,<15yr,615,1283060,84.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-41,<15yr,841,1283060,113.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-42,<15yr,985,1283060,142.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-43,<15yr,1367,1283060,183.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-44,<15yr,1882,1283060,253.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-45,<15yr,2039,1283060,305.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-46,<15yr,2919,1283060,386.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-47,<15yr,2641,1283060,433.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-48,<15yr,1877,1283060,352.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-49,<15yr,1225,1283060,241.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-50,<15yr,1005,1283060,173.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-51,<15yr,959,1283060,153.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-52,<15yr,875,1283060,142.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-53,<15yr,805,1283060,130.9,"TESSy COVID-19, national weekly data"
Austria,AT,2021-01,<15yr,741,1283060,120.5,"TESSy COVID-19, national weekly data"
Austria,AT,2021-02,<15yr,521,1283060,98.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-03,<15yr,694,1283060,94.7,"TESSy COVID-19, national weekly data"
Austria,AT,2021-04,<15yr,760,1283060,113.3,"TESSy COVID-19, national weekly data"
Austria,AT,2021-05,<15yr,784,1283060,120.3,"TESSy COVID-19, national weekly data"
Austria,AT,2021-06,<15yr,967,1283060,136.5,"TESSy COVID-19, national weekly data"
Austria,AT,2021-07,<15yr,1557,1283060,196.7,"TESSy COVID-19, national weekly data"
Austria,AT,2021-08,<15yr,2092,1283060,284.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-09,<15yr,2468,1283060,355.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-10,<15yr,2726,1283060,404.8,"TESSy COVID-19, national weekly data"
Austria,AT,2021-11,<15yr,2996,1283060,446,"TESSy COVID-19, national weekly data"
Austria,AT,2021-12,<15yr,3129,1283060,477.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-13,<15yr,2444,1283060,434.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-14,<15yr,2055,1283060,350.6,"TESSy COVID-19, national weekly data"
Austria,AT,2021-15,<15yr,2558,1283060,359.5,"TESSy COVID-19, national weekly data"
Austria,AT,2021-16,<15yr,2368,1283060,383.9,"TESSy COVID-19, national weekly data"
Austria,AT,2021-17,<15yr,2238,1283060,359,"TESSy COVID-19, national weekly data"
Austria,AT,2020-09,15-24yr,4,955625,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-10,15-24yr,14,955625,1.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-11,15-24yr,103,955625,12.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-12,15-24yr,285,955625,40.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-13,15-24yr,435,955625,75.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-14,15-24yr,308,955625,77.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-15,15-24yr,178,955625,50.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-16,15-24yr,54,955625,24.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-17,15-24yr,38,955625,9.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-18,15-24yr,25,955625,6.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-19,15-24yr,36,955625,6.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-20,15-24yr,40,955625,8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-21,15-24yr,33,955625,7.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-22,15-24yr,23,955625,5.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-23,15-24yr,31,955625,5.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-24,15-24yr,26,955625,6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-25,15-24yr,50,955625,8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-26,15-24yr,55,955625,11,"TESSy COVID-19, national weekly data"
Austria,AT,2020-27,15-24yr,96,955625,15.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-28,15-24yr,112,955625,21.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-29,15-24yr,128,955625,25.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-30,15-24yr,203,955625,34.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-31,15-24yr,203,955625,42.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-32,15-24yr,198,955625,42,"TESSy COVID-19, national weekly data"
Austria,AT,2020-33,15-24yr,577,955625,81.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-34,15-24yr,662,955625,129.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-35,15-24yr,517,955625,123.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-36,15-24yr,551,955625,111.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-37,15-24yr,963,955625,158.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-38,15-24yr,1303,955625,237.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-39,15-24yr,919,955625,232.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-40,15-24yr,1077,955625,208.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-41,15-24yr,1320,955625,250.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-42,15-24yr,1649,955625,310.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-43,15-24yr,2961,955625,482.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-44,15-24yr,4931,955625,825.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-45,15-24yr,6651,955625,1212,"TESSy COVID-19, national weekly data"
Austria,AT,2020-46,15-24yr,6323,955625,1357.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-47,15-24yr,4790,955625,1162.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-48,15-24yr,3804,955625,899.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-49,15-24yr,2611,955625,671.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-50,15-24yr,2140,955625,497.2,"TESSy COVID-19, national weekly data"
